#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
2.3019393872e+00  1.1052913602e-04  8.3949501301e-06  -4.8175784061e-04  1.2619623359e-03  1.6301007259e-02  1.4152786248e-02  nan  nan  5.1607492737e-04  6.9226410872e-04  -3.7219651398e-04  5.1825829386e-04  1.2460927821e-03  2.6282517196e-03  
2.4006601326e+00  8.3434149838e-05  7.7038968151e-06  -1.7627535324e-03  1.6155954174e-03  3.0399101566e-02  2.5287581372e-02  nan  nan  2.5481146631e-03  1.7422769422e-03  2.9481427659e-04  4.6807384846e-04  -1.3065499688e-04  9.2831243311e-04  
2.4992010705e+00  7.3646230000e-05  7.0718023039e-06  -6.1914237306e-04  1.5097803913e-03  5.5112441644e-03  1.0477884252e-02  nan  nan  1.1042120607e-03  1.0380514229e-03  -2.2832728307e-04  4.6556455784e-04  1.7612319073e-03  3.6370770591e-03  
2.6001612046e+00  5.6733429035e-05  6.2196772134e-06  -3.2195842006e-03  2.3068861933e-03  1.5023859041e-02  1.5505071636e-02  nan  nan  1.6661201721e-03  1.2266510898e-03  -6.3827082371e-04  7.0057357931e-04  4.4384283390e-04  1.3611160993e-03  
2.7005796898e+00  5.1617033021e-05  5.8217599969e-06  -2.4483018457e-03  1.8413901979e-03  1.3425302915e-02  1.3785297563e-02  nan  nan  -1.4974113687e-03  1.5888982476e-03  4.6445200412e-04  8.4136088001e-04  -9.9473360513e-04  2.3242107496e-03  
2.7975318980e+00  4.6441794870e-05  4.9883691471e-06  -3.6249172628e-03  2.5934897899e-03  1.5212339228e-02  1.4708998104e-02  nan  nan  4.1009515177e-04  1.0769701213e-03  1.2339339838e-04  5.3104939304e-04  5.4514369278e-04  1.5236896929e-03  
2.8998163432e+00  3.3602749400e-05  4.6008595118e-06  -2.5568841546e-03  2.4966537520e-03  9.5206191007e-03  1.5251671326e-02  nan  nan  1.8068507417e-03  1.8266186555e-03  -2.8781694156e-04  6.9196721968e-04  8.7696867889e-04  2.5415747191e-03  
3.0001976517e+00  3.6989358158e-05  4.6566058066e-06  -7.9660202269e-04  1.7627980105e-03  1.5348520880e-02  1.6445374046e-02  nan  nan  4.9010269649e-05  1.2666242646e-03  -3.0929694379e-04  8.5910981160e-04  1.0340502094e-03  2.4626885212e-03  
3.0947659377e+00  2.2302583701e-05  3.2892975218e-06  -2.7095073603e-03  3.1376883387e-03  2.8888093469e-02  2.6765486383e-02  nan  nan  1.3889507971e-03  1.7370481226e-03  -1.2562428366e-03  1.3544740445e-03  -3.2676661305e-03  6.6351258636e-03  
3.1975525854e+00  1.7353175991e-05  2.8120106955e-06  -3.0967763945e-03  2.7194378810e-03  4.3944929001e-02  3.5936427104e-02  nan  nan  -7.4780631321e-05  1.2310595144e-03  8.1168549575e-04  9.2719386375e-04  2.1275142173e-03  4.4274569609e-03  
3.3055445482e+00  1.6376827969e-05  2.6934440635e-06  -4.2754534756e-03  3.4341557283e-03  -1.4433751416e-04  1.1948316692e-02  nan  nan  -1.7828739438e-03  1.6605394210e-03  -9.0569226870e-04  1.1238732710e-03  3.2403158748e-04  1.6617166261e-03  
3.4111837472e+00  1.4282696142e-05  2.7996553386e-06  -8.2966413331e-03  5.2455857489e-03  1.9428822404e-02  2.1315265784e-02  nan  nan  -2.3632696797e-03  2.6562461838e-03  -5.6554893488e-04  1.0558802696e-03  -4.0360090837e-04  1.8739836543e-03  
3.5023584612e+00  1.2751643317e-05  2.4787136969e-06  -2.5918280221e-04  3.3126977817e-03  1.1971047516e-02  1.8957529897e-02  nan  nan  -4.4270970369e-03  3.6884841295e-03  -5.9220174019e-04  1.6304067016e-03  1.7371486164e-03  3.6382502358e-03  
3.6057431711e+00  1.0134020635e-05  2.0475568684e-06  -1.0770678801e-03  3.9258060171e-03  1.7576864070e-02  1.8815278296e-02  nan  nan  -3.7595016261e-03  3.1236432447e-03  6.2734723402e-04  1.3832820944e-03  3.1611020927e-03  6.5035449231e-03  
3.6710974767e+00  2.2119135263e-06  8.9839090894e-07  -7.8275614627e-03  1.0800222159e-02  1.4713125754e-02  3.5958537006e-02  nan  nan  -2.1650802669e-03  1.9491538347e-03  -2.8217074431e-04  1.2810103229e-03  -1.4188478423e-03  3.6646344269e-03  
3.7934592033e+00  1.0702830494e-06  6.1634984341e-07  8.5705382446e-03  1.3996484662e-02  8.2757211017e-02  8.1303617591e-02  nan  nan  -1.2072419965e-02  1.3555359241e-02  2.7792532184e-03  4.7741661886e-03  -6.0557468313e-04  2.5157789504e-03  
3.9194086500e+00  3.4529656803e-07  3.4500282355e-07  7.4031059595e-03  8.1894864148e-03  -1.7361794623e-02  2.1750118314e-02  nan  nan  -8.8819229919e-03  1.0208010225e-02  -7.5636882328e-03  9.0748186980e-03  -8.1589422307e-03  1.8185807668e-02  
3.9500000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  nan  nan  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  0.0000000000e+00  
