#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.9973551903e+00  1.6058532445e-04  1.1881247759e-05  4.6112904791e-05  8.3459976008e-04  7.9632067834e-03  4.4106356062e-03  -4.6380298954e-04  8.2510570606e-04  -6.0868975305e-06  5.9583927803e-04  -3.1902039194e-04  3.0363130699e-04  -8.9494755821e-06  1.7044041168e-04  
2.0996211981e+00  1.4245055144e-04  1.1125873966e-05  4.7223167758e-04  6.7078918641e-04  6.6667026621e-03  3.9367805581e-03  -9.5050861403e-04  9.8085604587e-04  -5.4284634696e-06  4.0710780604e-04  1.2023652348e-04  2.1403629736e-04  -4.3477656843e-05  2.0481282608e-04  
2.1983943710e+00  1.1388825400e-04  9.5923800319e-06  9.0877506604e-04  7.8318818630e-04  9.3455280272e-03  5.1025989111e-03  -1.2377485204e-03  1.0669572705e-03  6.7290254592e-04  5.1647721224e-04  3.6192307942e-04  2.7536893509e-04  -4.1055270845e-05  2.0232978254e-04  
2.2985154777e+00  1.1540415591e-04  1.0803523899e-05  -4.2747370441e-04  7.2757159418e-04  7.2592550555e-03  4.8246880071e-03  8.6813620792e-06  8.7102535386e-04  9.2497463501e-04  5.5015605320e-04  6.9968049054e-05  2.8676312709e-04  1.6518638928e-04  1.6933503399e-04  
2.4004336123e+00  7.9495441024e-05  7.7137047547e-06  5.8908222076e-04  8.5041667462e-04  1.8048945222e-02  7.5352790609e-03  1.7492598176e-03  1.7235396843e-03  5.1141871270e-06  1.0814806917e-03  1.4669645950e-04  2.3847043970e-04  -9.3074522187e-05  2.5147370455e-04  
2.4974341957e+00  7.7491629487e-05  6.9444118210e-06  -9.3384074199e-04  8.8272270958e-04  5.9466102086e-03  4.8227174655e-03  1.8393826940e-03  1.5530363460e-03  5.5423078152e-05  6.9951866540e-04  -2.8019712912e-04  3.1548490138e-04  -2.1339395962e-04  2.2771141561e-04  
2.5975466140e+00  6.2000675534e-05  6.3580086344e-06  -1.7875880958e-03  1.0437666863e-03  1.2931320702e-02  5.6769868051e-03  3.2091558514e-04  1.3082524714e-03  -2.9217376543e-04  5.9266102544e-04  4.3189068020e-04  2.8440660086e-04  2.4732020996e-05  2.7477133287e-04  
2.6997315450e+00  4.8124193221e-05  5.0709152652e-06  6.4353836766e-04  1.1737656523e-03  1.7377149906e-02  6.5247624267e-03  4.8445657586e-04  1.5221659415e-03  7.7293056821e-04  6.4610124063e-04  5.4993698752e-04  3.6053616073e-04  -2.7768577738e-04  2.8535324179e-04  
2.7958452379e+00  4.5501690904e-05  5.2353064106e-06  -4.1449323959e-04  9.9716206922e-04  1.4088525188e-02  7.2779279733e-03  1.9773022578e-03  2.1537526356e-03  1.3529768369e-04  6.8625855445e-04  4.4971724279e-04  4.1170346637e-04  2.9485592542e-04  3.0156973339e-04  
2.9036325048e+00  4.2414324312e-05  5.1252404346e-06  -5.2239173440e-04  1.7731732255e-03  1.5733752307e-02  1.0033481587e-02  2.6836197023e-03  1.8176983174e-03  5.9075508424e-04  5.7876687522e-04  4.2382476502e-04  5.7969929605e-04  -9.4131125569e-05  2.7326274600e-04  
