#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
2.0986755652e+00  2.4163019092e-03  1.2273666002e-04  -1.4552372646e-03  7.3847765506e-04  3.6037966104e-02  9.0194240230e-03  2.5878467557e-03  1.2502122340e-03  -1.1419643850e-04  4.4047315292e-04  1.1856249173e-04  3.0234490856e-04  -2.8817555308e-04  1.9781455682e-04  
2.1991457157e+00  1.9120535725e-03  1.0286892543e-04  -1.1479921400e-03  7.7311811110e-04  3.5107688974e-02  6.8572473493e-03  4.4371887148e-04  1.1804771670e-03  9.7646911067e-04  4.4847918900e-04  -4.5281712650e-04  4.0974161566e-04  -1.2221235206e-05  2.4117396768e-04  
2.2984293172e+00  1.5715870274e-03  8.4867042081e-05  -2.3449446687e-03  1.0215027804e-03  2.9952986883e-02  9.3505022569e-03  3.4203024347e-03  1.5469057812e-03  8.8372055577e-04  6.8141585235e-04  -2.5261119454e-04  2.5784172062e-04  3.4633295358e-04  2.5039201405e-04  
2.3980597967e+00  1.1586219478e-03  6.8552260920e-05  -2.3925997541e-03  1.1119313356e-03  3.3905864353e-02  8.3395584558e-03  3.1545416214e-03  1.6340197333e-03  3.0106227134e-05  5.1594665374e-04  2.5586216904e-04  3.5989064257e-04  -2.3162800971e-04  3.0358082370e-04  
2.4977074529e+00  9.5201326918e-04  5.7155582842e-05  -3.0871081009e-03  1.0852395493e-03  3.0941306189e-02  7.4152212262e-03  4.1028514303e-03  1.6447172455e-03  1.1486183042e-03  7.3682395019e-04  -8.1838431338e-04  5.8652872501e-04  2.0143715160e-04  3.5642585049e-04  
2.5980372143e+00  7.3397021346e-04  4.7408112851e-05  -2.4502137968e-03  1.1257626065e-03  3.6400086582e-02  8.0130044106e-03  4.3277913541e-03  1.6642281599e-03  1.4744812879e-03  9.8146821036e-04  9.0233388458e-06  3.2095610337e-04  -9.9902297805e-05  3.4241260205e-04  
2.6978973507e+00  5.9895158026e-04  4.1034342005e-05  -3.5023696108e-03  1.7305667901e-03  4.0057584059e-02  8.9735395561e-03  4.6086010876e-03  2.2631175724e-03  -8.2851381795e-04  7.0984645948e-04  1.1140438663e-04  3.6369958701e-04  3.8709402430e-05  3.2577638852e-04  
2.7968121165e+00  4.4276227635e-04  3.1631769181e-05  -7.2790195411e-03  2.1172853931e-03  3.9300299809e-02  1.0759347027e-02  3.3610486918e-03  2.1704374621e-03  2.0026639567e-03  1.1526806393e-03  9.4683346711e-05  5.0117203396e-04  1.3747722068e-04  3.3885161756e-04  
2.8973703840e+00  3.4565314514e-04  2.4798978807e-05  -3.0123832154e-03  1.6366451789e-03  4.3286245523e-02  1.2892826724e-02  1.6890152254e-03  2.4200776919e-03  1.3139372377e-03  9.0917245679e-04  -5.4565049008e-04  5.0126549803e-04  7.6860531969e-04  4.6525986502e-04  
2.9990494516e+00  2.5270696391e-04  2.0868956480e-05  -6.9017685334e-03  2.9003944417e-03  2.0553150068e-02  8.4639171019e-03  6.9070957726e-03  2.8996020770e-03  1.3733526759e-03  1.2060241137e-03  -1.5122392286e-04  6.0871829824e-04  1.1664995188e-04  4.2360940848e-04  
3.0993533931e+00  1.8033987471e-04  1.5627954940e-05  -5.5571645258e-03  2.0453738481e-03  5.4868368529e-02  1.5582438618e-02  1.1052271952e-02  4.6732831174e-03  3.1078521501e-03  1.5759191391e-03  -1.2550778140e-04  6.0585098613e-04  -2.3524622390e-04  6.5024918929e-04  
3.1986848414e+00  1.4046866064e-04  1.3099280246e-05  -9.5630771099e-03  3.1324859272e-03  5.3462309214e-02  1.4342467094e-02  4.2870354183e-03  5.4216789209e-03  1.5387212769e-04  1.3610685962e-03  2.5610765528e-03  2.0773419331e-03  3.6512408216e-04  6.2013955640e-04  
3.2972943175e+00  1.0712617616e-04  1.0392839681e-05  -2.1130203773e-03  2.4609602133e-03  3.7147151844e-02  1.5764933194e-02  6.1526078954e-03  3.5652891807e-03  1.0722475623e-03  1.3281715503e-03  7.3148521952e-04  1.3088051092e-03  5.7104937545e-04  7.4176037724e-04  
3.3990872128e+00  7.8834386552e-05  8.0356655227e-06  -3.3271979981e-03  2.7440675085e-03  5.3518328262e-02  2.1081007861e-02  1.0344232060e-02  5.8096766751e-03  5.3305542481e-04  2.7065870304e-03  8.9822025333e-04  9.8830533698e-04  -4.1593717431e-04  7.3752692586e-04  
3.4988433366e+00  6.4982676425e-05  7.1949265052e-06  -1.4602688312e-02  4.1685428350e-03  7.5680102313e-02  3.4499924171e-02  -9.8330606742e-03  5.1308570549e-03  4.9473334071e-03  3.0569385973e-03  -1.9124627653e-03  1.0013581862e-03  -2.7591658588e-04  8.5474356930e-04  
3.5973604695e+00  4.1759167366e-05  5.2135241870e-06  -9.0331667223e-03  4.6641307073e-03  4.1450320177e-02  2.0846388069e-02  1.2444842059e-02  7.0604725898e-03  -1.8487669406e-03  2.7268072729e-03  9.0841471501e-04  1.1454537536e-03  -7.8682191699e-04  1.2031776784e-03  
3.6885586249e+00  2.3848961703e-05  3.5537870046e-06  2.5010389054e-03  5.8547714583e-03  5.3026993600e-02  2.7320977166e-02  -4.6481089175e-03  7.4353705632e-03  4.4420325267e-03  3.4599111678e-03  1.5370251488e-03  2.5891463103e-03  -3.5450933495e-04  1.4349936493e-03  
3.8042313850e+00  7.8265176042e-06  1.6371059185e-06  -4.4121118839e-03  8.1565596596e-03  8.9538989663e-02  4.4843120356e-02  2.0727693296e-02  1.3228739745e-02  8.5345753728e-04  5.4403628459e-03  2.7133071764e-03  2.1337674319e-03  5.8873096217e-03  2.6143328063e-03  
3.9013005323e+00  7.6317842386e-06  1.6700551089e-06  -1.9871459066e-02  1.0467928246e-02  8.6402112362e-02  6.4623335966e-02  -2.7148747800e-03  1.3194592787e-02  7.9468795136e-03  5.6338234123e-03  -2.3292795332e-03  3.3371969086e-03  7.0834464368e-04  1.9600915112e-03  
4.0018859255e+00  6.0872425981e-06  1.4914081620e-06  -1.7011414492e-02  9.2345810794e-03  5.7064322807e-02  4.3695633779e-02  9.9102286675e-03  1.7584505661e-02  4.5520459084e-03  8.2823847920e-03  8.4484060468e-03  4.7712783966e-03  3.0746482277e-03  2.3698713599e-03  
