# type  value  stat. err
v4_L  7.9658374742e-02  1.9571326427e-02
v4(Psi2)  -2.0551072498e-02  3.6053832309e-02
rho_422  -2.4981046575e-01  4.4117071341e-01
chi_422  -3.3895117754e-01  5.8730125009e-01
v5_L  8.2461969085e-02  1.5903913096e-02
v5(Psi23)  -1.2632339642e-03  3.2022353960e-02
rho_523  -1.5317191450e-02  3.8829442191e-01
chi_523  -2.1731146332e-02  5.5084152620e-01
v6_L  3.6240329160e-03  1.7483800226e-03
v6(Psi2)  -3.0217803006e-03  1.9245980451e-02
v6(Psi3)  1.3926227340e-03  2.7674835774e-02
rho_6222  -5.0115385896e-02  3.1941515455e-01
rho_633  2.3096260739e-02  4.5901283502e-01
chi_6222  -5.6517201358e-02  3.5952868355e-01
chi_633  2.3495696703e-02  4.6687764926e-01
