#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
2.0999611241e+00  6.2448977542e-04  3.3931898540e-05  -6.8444450891e-04  1.1734091620e-03  1.8101693333e-02  9.3446362950e-03  2.1296770251e-03  1.2401508773e-03  7.0367528371e-04  6.9147893282e-04  9.0387656889e-05  2.3426510068e-04  -3.2320104038e-05  2.3321906379e-04  
2.2001269245e+00  5.0809523410e-04  3.0420314957e-05  -7.9576089554e-04  1.2544859473e-03  1.0593506232e-02  6.1195106849e-03  7.9304939570e-04  1.0689711454e-03  -7.1116763948e-04  7.5079979001e-04  2.9909171335e-04  2.9923342212e-04  -3.3306974100e-04  2.6526246828e-04  
2.2975612323e+00  4.3471244869e-04  2.5956173028e-05  -2.9776147937e-03  1.8512922223e-03  2.5618455620e-02  1.3037238691e-02  2.9131716444e-03  1.7261886039e-03  1.1648375577e-03  7.8439083729e-04  -3.6061866028e-05  2.0925995460e-04  2.5645199987e-04  2.7178181870e-04  
2.3993456604e+00  3.3448348887e-04  2.2667338900e-05  -1.3937345887e-03  1.8160363699e-03  9.6515890859e-03  6.4203438655e-03  4.0281194279e-03  2.0092053542e-03  2.4986047116e-04  4.2190137614e-04  6.4091019775e-04  3.6253369733e-04  9.1197533457e-05  2.5942405839e-04  
2.4995082425e+00  2.7668087263e-04  1.8095418111e-05  -3.5052095729e-03  2.1828809438e-03  1.1698816147e-02  8.1429668338e-03  1.6476585851e-03  1.1830336619e-03  5.6789197294e-04  5.3636367970e-04  1.3836972215e-04  2.7340592895e-04  2.3122977629e-04  3.0937587923e-04  
2.6008913150e+00  2.1802416321e-04  1.6703181223e-05  2.9891901024e-04  2.0188724469e-03  2.4643870135e-02  1.2835424822e-02  8.1712675690e-04  1.2821747128e-03  1.3260112517e-03  8.7261464746e-04  -2.9495166578e-04  3.2214195086e-04  -4.9929299760e-04  4.0058728567e-04  
2.6980670617e+00  1.7004339532e-04  1.4130219015e-05  -5.2895893949e-03  3.0512308071e-03  1.4282210331e-02  8.4379054752e-03  2.3453176622e-03  2.7018649432e-03  3.1015220397e-04  6.7256678224e-04  5.9022249501e-04  6.8149259444e-04  2.5424738590e-04  3.2651266259e-04  
2.7972361710e+00  1.3837247454e-04  1.2171614477e-05  -6.3523532266e-03  4.3737800152e-03  3.3287929011e-02  1.8228262913e-02  -3.7073449752e-03  3.5773020479e-03  -5.1731400903e-04  9.8434590860e-04  -2.5186631133e-04  4.7055683086e-04  6.1018367279e-05  3.0241949866e-04  
2.8997200730e+00  1.0267847641e-04  1.0006630910e-05  -3.9869323652e-03  3.2314384982e-03  1.3356458402e-02  1.0668858914e-02  3.6870903769e-03  2.2697521266e-03  2.2488272308e-05  7.8176526621e-04  3.7913576557e-04  4.2697528800e-04  1.5111050877e-04  4.2666719007e-04  
2.9993351975e+00  8.7085352667e-05  8.4854616023e-06  -2.7668748812e-03  2.2845426679e-03  1.7244921328e-02  1.1003163122e-02  2.7985527558e-03  2.0070767066e-03  1.0308449323e-03  8.6354376749e-04  6.5580610537e-04  4.7792914721e-04  2.2929354398e-04  4.3779943953e-04  
