# type  value  stat. err
v4_L  6.1198606423e-02  1.4609453574e-02
v4(Psi2)  -9.2448393015e-03  2.2213007663e-02
rho_422  -1.4936822756e-01  3.6049432638e-01
chi_422  -2.0121960579e-01  4.8059375049e-01
v5_L  7.9769151682e-02  1.5764808049e-02
v5(Psi23)  3.4585873916e-03  2.9951163726e-02
rho_523  4.3316759042e-02  3.7521723364e-01
chi_523  1.0450344264e-01  9.0426295848e-01
v6_L  2.7197843998e-03  3.1111108681e-03
v6(Psi2)  2.8354809168e-02  3.4261475440e-02
v6(Psi3)  -1.5954793709e-02  2.6815082525e-02
rho_6222  4.3835987340e-01  5.4073882467e-01
rho_633  -2.4665802931e-01  4.1905371614e-01
chi_6222  8.1349528713e-01  9.5637184980e-01
chi_633  -4.2294227568e-01  6.9911486461e-01
