#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.0793554828e-01  6.8066149032e-01  1.7184664341e-02  4.3493052149e-04  2.2592707125e-04  1.0279077961e-03  1.1391240412e-03  3.4162456715e-04  3.8275235026e-04  -9.6748109557e-05  1.3662469807e-04  -5.7956752670e-05  6.7818115037e-05  1.0466636558e-04  6.9369251381e-05  
2.0327154315e-01  6.6511906932e-01  1.7063381331e-02  5.2000849267e-04  1.9747638476e-04  1.7654087702e-03  8.9107698956e-04  1.6561644814e-04  2.4252962284e-04  -1.5365057794e-04  1.0589274292e-04  -4.6385156168e-05  5.6064822164e-05  3.9739777893e-05  4.8361723067e-05  
3.0152997575e-01  5.9795249471e-01  1.5361929565e-02  1.1278145512e-03  2.2782853018e-04  2.9469144524e-03  8.5113731792e-04  -3.3758121903e-05  2.1153414330e-04  1.3418933762e-04  8.9595274705e-05  5.8567252846e-05  4.5136713227e-05  -6.4295935273e-05  4.7024671668e-05  
4.0044199288e-01  5.0916582712e-01  1.3630957592e-02  1.3876266135e-03  2.5760599083e-04  7.5684901764e-03  1.3964082000e-03  1.9041645482e-04  2.0298634998e-04  -4.4373862112e-05  8.7100122729e-05  -7.5660638709e-07  4.5175939681e-05  1.0279226918e-05  4.0071926544e-05  
4.9991164782e-01  4.1801087151e-01  1.1492312019e-02  1.4993358517e-03  2.8972727323e-04  8.5193474705e-03  1.5385873369e-03  6.0390595461e-04  2.0644906523e-04  4.8708994292e-05  7.9407920632e-05  -3.0973556117e-05  5.0483772863e-05  -2.4849674542e-05  3.9290321742e-05  
5.9938443209e-01  3.3246699494e-01  9.5418883814e-03  1.2814973371e-03  2.5152658422e-04  1.2683856815e-02  2.1615496521e-03  7.9716589687e-04  2.9985573095e-04  6.3894709845e-05  1.0904646988e-04  -7.4080922237e-06  4.3041148723e-05  9.8987739372e-05  4.4521646271e-05  
6.9907371839e-01  2.5850229775e-01  7.7138256230e-03  1.5011530908e-03  3.0242644952e-04  1.4625374221e-02  2.4983475748e-03  9.2896000168e-04  2.8997353035e-04  6.8736986616e-05  7.7526715440e-05  -1.0022404049e-04  5.5207050086e-05  5.4159969154e-05  4.1993898780e-05  
7.9877386300e-01  1.9691290984e-01  6.0984228747e-03  1.4824480280e-03  3.0038272595e-04  1.7513911491e-02  2.9229198788e-03  1.5975456659e-03  4.0379878407e-04  7.8298684491e-05  9.9409388359e-05  3.5024234114e-05  4.8395828294e-05  -2.2362386843e-05  4.3054978285e-05  
8.9859163812e-01  1.4903603096e-01  4.8050034441e-03  9.0689176019e-04  2.3519917462e-04  2.0588322455e-02  3.4795639262e-03  2.0317420501e-03  4.8276223228e-04  2.5144830892e-04  9.6090215145e-05  3.8588620176e-05  6.1804917561e-05  3.4554296497e-05  5.2820034945e-05  
9.9840352721e-01  1.1290710468e-01  3.8401055040e-03  1.1244498729e-03  2.8401397511e-04  2.2756632323e-02  3.8756560832e-03  2.1845372843e-03  5.5611247709e-04  1.3402082992e-04  9.7550598677e-05  2.0082014204e-05  5.9196827155e-05  2.0237199144e-05  5.1401659035e-05  
1.0984200085e+00  8.4225153932e-02  2.9785988728e-03  2.1542723256e-04  2.0975250360e-04  2.6573510744e-02  4.6615642743e-03  1.8851061851e-03  5.0491164871e-04  2.4335915516e-04  1.3271526422e-04  4.7844962746e-05  6.0150387879e-05  5.5026253276e-05  5.8610901399e-05  
1.1981811710e+00  6.2857301752e-02  2.3101122749e-03  -4.0042650807e-04  2.3778439135e-04  2.5976304251e-02  4.6291225721e-03  2.4653757417e-03  5.6918725410e-04  4.1815593372e-04  1.6930873064e-04  4.0813695352e-05  7.7989050029e-05  2.6706714152e-05  6.7242182437e-05  
1.2981906997e+00  4.6346796137e-02  1.7978970532e-03  -2.6834993606e-04  2.2761403352e-04  2.8670503507e-02  4.9839473510e-03  2.9510600966e-03  7.6379922969e-04  4.2721697095e-05  1.8878201541e-04  1.1410075780e-04  8.9947645667e-05  5.6932524601e-05  7.5032766670e-05  
1.3981117757e+00  3.4595973017e-02  1.4021459120e-03  -5.0414898373e-05  2.7537548145e-04  3.2622091542e-02  5.9205445033e-03  2.2242519601e-03  6.8737235512e-04  3.9459366551e-04  1.7261009724e-04  -8.2540446162e-05  8.4855773879e-05  4.5143598860e-05  7.5034513515e-05  
1.4982254833e+00  2.5708781048e-02  1.0875814044e-03  -5.6972167399e-04  3.0675184766e-04  2.9740356550e-02  5.4894212684e-03  3.5388421191e-03  8.6482369559e-04  6.0994924664e-06  1.7621385992e-04  8.1338427264e-05  9.6880258835e-05  1.0795407988e-04  9.8934828146e-05  
