#correlator  value  value_err
4(24)  -2.47322e+00  3.33664e+00
6(23)  -5.00139e+01  3.27618e+02
6(26)  -5.59095e+00  2.20652e+01
6(36)  1.55763e-01  1.92847e+00
(235)  -1.21366e-01  1.95904e+00
(246)  1.88920e-01  2.61791e+00
(234)  5.12107e+01  3.60896e+01
