#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.7995829610e+00  1.1521252712e-03  5.4316150852e-05  -7.5526490263e-04  1.2490082106e-03  2.6969331181e-02  1.4880082276e-02  2.2065817492e-03  2.2531572274e-03  1.7035948987e-03  8.6351768999e-04  -8.9849415043e-06  4.7244726403e-04  -3.9835194671e-04  4.8537039347e-04  
1.8991709484e+00  9.5519486395e-04  4.6729722228e-05  1.2819097433e-03  1.4576407508e-03  3.8056124140e-02  1.9720884725e-02  4.9501981348e-03  2.0580989417e-03  -2.5103531206e-04  1.0814127309e-03  8.9002875862e-05  4.9060816686e-04  -4.2420887985e-06  5.2229415449e-04  
1.9985370502e+00  7.5708110880e-04  4.0155243522e-05  -2.6354915768e-03  1.6039778028e-03  4.3218925201e-02  2.1342388882e-02  6.7468503226e-03  2.8018953508e-03  -1.7856085392e-04  6.0937831321e-04  1.4925215205e-04  5.1630591852e-04  -4.6073925446e-04  6.2852295102e-04  
2.0962992837e+00  6.5204999790e-04  3.6686197181e-05  -1.2422042339e-03  1.9075637993e-03  4.1745723940e-02  2.2355695930e-02  6.1674303798e-03  3.0463380887e-03  1.9388681190e-03  1.4001983563e-03  6.7146102657e-04  6.2950525250e-04  5.6886328776e-04  5.7630925356e-04  
2.1992286215e+00  5.3107178260e-04  3.0894129666e-05  -5.3791316335e-03  2.5814569196e-03  5.0342343292e-02  2.4943459825e-02  1.5752006258e-03  2.3810026342e-03  1.2200089235e-03  9.6105910329e-04  3.0940118967e-04  1.1004569400e-03  2.8188500900e-04  5.6057384769e-04  
2.2977248128e+00  4.7061045924e-04  2.7344315072e-05  -3.5348020755e-04  2.3323657958e-03  6.3144259242e-02  3.1750503437e-02  6.4595096393e-03  3.6637748205e-03  3.1414891490e-04  8.7381479483e-04  7.3730415359e-05  5.1019617250e-04  5.2953675003e-04  6.5508632503e-04  
2.3988401125e+00  3.4245238776e-04  2.1187538766e-05  -4.4155212081e-03  2.5886986189e-03  5.5815547060e-02  2.9350371002e-02  3.0176059541e-03  2.7390476967e-03  1.4573686754e-03  1.3888583918e-03  3.6919583882e-04  8.1969521335e-04  -2.4071618517e-04  6.9361213763e-04  
2.4963168895e+00  2.6510746319e-04  1.8162419259e-05  -1.9292328301e-03  2.2051012568e-03  2.7336562499e-02  1.7640626022e-02  -4.5343759122e-03  3.7450642318e-03  -8.8308699842e-05  1.0330090687e-03  -5.1759468889e-04  7.8281959533e-04  5.0958141285e-05  7.4647801474e-04  
2.5968557026e+00  2.1367260676e-04  1.5652946440e-05  -3.0801832389e-03  2.4029053102e-03  6.2472330588e-02  3.1858341671e-02  3.7832975414e-04  3.4916097785e-03  1.1680553339e-03  1.2127113194e-03  -1.0535349078e-04  7.9227776385e-04  9.6418095430e-04  8.9755797821e-04  
2.6986922054e+00  1.6950251853e-04  1.3016527517e-05  -5.7891696720e-03  2.9931232800e-03  6.5925873206e-02  3.4226570984e-02  6.6243348334e-04  3.2593769603e-03  1.0821098391e-03  1.3392909833e-03  1.5122036675e-04  1.2253964255e-03  7.6820517575e-04  9.0295771200e-04  
