# type  value  stat. err
v4_L  6.6654991850e-02  1.8800676434e-02
v4(Psi2)  -2.0075735304e-02  3.3235105348e-02
rho_422  -2.8839199578e-01  4.8158455483e-01
chi_422  -4.2111869310e-01  6.8736007095e-01
v5_L  7.7531462869e-02  1.5352563090e-02
v5(Psi23)  -7.0031869047e-03  3.2705891747e-02
rho_523  -8.9960783454e-02  4.2048747827e-01
chi_523  -1.6110305831e-01  7.5087110156e-01
v6_L  1.6396337638e-03  3.7136817837e-03
v6(Psi2)  2.2066332794e-02  3.1690620419e-02
v6(Psi3)  -3.5384117660e-02  3.5868739059e-02
rho_6222  3.4263112169e-01  4.9737324624e-01
rho_633  -5.4942069611e-01  5.6892823580e-01
chi_6222  5.8901640006e-01  8.2480473266e-01
chi_633  -6.8065215154e-01  6.6675483073e-01
