#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
2.0990091306e+00  1.7193615661e-03  9.1237392358e-05  -1.2804938139e-03  1.5449137467e-03  3.6456830252e-02  8.0224892945e-03  2.1486715876e-03  1.6023612952e-03  5.2283541109e-04  6.0020254815e-04  3.5860937066e-04  3.7848453677e-04  -3.6928459547e-05  2.9027972541e-04  
2.1992160738e+00  1.4308579288e-03  8.6845953813e-05  -2.4418601153e-03  1.0833493412e-03  3.2534130292e-02  6.9085358655e-03  1.8136880366e-03  1.6739100870e-03  1.3038271178e-03  5.6127272919e-04  -7.0255177479e-04  3.3323107836e-04  -9.4690027862e-05  3.3491198525e-04  
2.2990479400e+00  1.1436141722e-03  7.0923758391e-05  -3.0672555563e-03  1.2509373911e-03  2.4164161982e-02  6.0797519215e-03  6.3081110600e-03  2.2416074143e-03  -5.2658096572e-04  9.4431101997e-04  -1.3061259899e-04  5.1094947021e-04  3.5967142139e-04  3.4946868438e-04  
2.3977110128e+00  8.4492506502e-04  5.5653670327e-05  -1.4464661767e-03  1.3636922535e-03  3.2745779671e-02  9.8417921993e-03  7.8189917451e-05  1.9182908337e-03  2.9717413148e-05  8.9648296897e-04  -7.3067674319e-04  4.3562380950e-04  4.7992042249e-04  4.0937187316e-04  
2.4995414260e+00  6.7209753558e-04  4.6955349234e-05  -3.7651995014e-03  1.8789369042e-03  2.4835485998e-02  8.3773768166e-03  4.3656820583e-03  2.5577865690e-03  6.9047350160e-04  1.0309668138e-03  -2.0458646462e-04  4.5526725107e-04  -1.9586799290e-04  4.9523143588e-04  
2.5999711237e+00  5.1839927737e-04  3.8048856323e-05  -2.5861244464e-03  1.4382523108e-03  3.5017095829e-02  1.3416569662e-02  1.7737844699e-03  3.6725829338e-03  2.0155249502e-03  1.5185008678e-03  -3.0151613495e-04  4.6758867998e-04  5.4765101592e-04  4.6074676777e-04  
2.6987590921e+00  3.9174475929e-04  3.1638764156e-05  -5.8986643746e-03  2.0723799277e-03  4.5391091444e-02  1.0831410865e-02  3.5098682672e-03  3.4213213364e-03  2.4034654024e-03  1.2075849438e-03  6.5233168261e-04  6.2224963493e-04  1.8794434488e-03  6.5644659370e-04  
2.7993817261e+00  3.3614042482e-04  2.6406375472e-05  -5.7357316169e-03  2.3328200440e-03  3.1545254617e-02  1.7805441583e-02  5.1692780650e-03  2.9109441127e-03  3.7019913797e-04  1.1230682111e-03  2.1195628529e-03  1.4290665750e-03  3.4862469660e-04  5.3317986713e-04  
2.8978378407e+00  2.6168596721e-04  2.3283053973e-05  -7.7177200872e-03  2.8272192491e-03  3.6979125880e-02  1.2769682910e-02  6.2396477895e-03  4.5896927584e-03  3.6553547424e-04  1.0752638446e-03  -5.5557376112e-04  7.4682775504e-04  -1.8306991057e-04  6.1475675251e-04  
2.9990374089e+00  1.7902916979e-04  1.7215016567e-05  -2.3558454297e-03  2.2640508734e-03  4.7169939564e-02  1.9880386903e-02  2.8509511494e-03  4.1573460419e-03  -4.0626015128e-04  1.4215215935e-03  2.8338053141e-04  7.1788927764e-04  7.8112757472e-04  7.3007130174e-04  
3.0990633338e+00  1.4735247786e-04  1.6338067775e-05  -6.8361943232e-03  2.9008632086e-03  5.4053138665e-02  1.8229074720e-02  1.5883165639e-03  3.9171721208e-03  5.8127036552e-04  1.9732025108e-03  -1.0497585309e-03  1.0957724427e-03  -2.5661624856e-04  6.7335112607e-04  
3.1994927901e+00  1.3061701730e-04  1.4736303945e-05  -5.0681861497e-03  3.1312804737e-03  2.2383627820e-02  1.4973830492e-02  9.3614143140e-03  4.4452823469e-03  1.6499923812e-03  1.4976951118e-03  -3.1380244036e-04  8.2737182666e-04  -5.0380834011e-04  8.3431099369e-04  
3.3021045660e+00  1.0979547065e-04  1.3664777534e-05  -6.3008324967e-03  3.9632222305e-03  3.2259737575e-02  2.1747123590e-02  -1.0186390504e-02  5.2124920115e-03  1.0691038509e-03  2.0373697787e-03  -4.0465879219e-04  1.3569158878e-03  6.4112685545e-04  8.5618059954e-04  
3.4020458435e+00  8.9486284090e-05  1.2159802804e-05  -1.0359036499e-02  4.5898946959e-03  3.5113369865e-02  1.7740235749e-02  -5.0399486510e-03  5.8996867709e-03  -3.2642583627e-04  2.0288970884e-03  1.2106835963e-03  9.5252470725e-04  -2.5780741022e-04  9.3545383888e-04  
3.4989852828e+00  5.9322999039e-05  7.9662312994e-06  -8.2132537018e-03  6.2104866253e-03  2.7808566031e-02  2.3446811906e-02  2.7908002195e-03  5.6650799638e-03  -4.0212481829e-03  2.8611949267e-03  1.4259615758e-03  1.3192853287e-03  4.8024112837e-04  9.9288694612e-04  
3.5945363892e+00  4.7736739843e-05  7.1178540518e-06  -1.2117075426e-03  4.2166857345e-03  7.8152881882e-02  2.4536657424e-02  2.7259527014e-03  5.5448769102e-03  1.3967650331e-03  2.4045765464e-03  4.2894426634e-03  2.9582441805e-03  1.4155980496e-03  1.0744276380e-03  
3.6751527205e+00  1.4308106400e-05  3.4001270847e-06  -6.2637469202e-03  7.4808932484e-03  -1.0518512854e-02  4.0852118177e-02  4.7657018771e-03  1.0536404829e-02  4.1558047203e-04  4.8586986450e-03  5.5566534940e-03  2.8737432676e-03  -1.7272950064e-03  1.7900446838e-03  
3.7778797100e+00  7.3258129422e-07  7.3195808586e-07  -6.1320368140e-02  6.1508417328e-02  -3.0264116153e-01  3.0373258537e-01  -9.5334155230e-02  9.5743658339e-02  4.8661791869e-02  4.8857136349e-02  3.0740588429e-03  3.0932359922e-03  5.9439083237e-03  5.9849907734e-03  
3.9035579950e+00  1.4179904644e-06  1.0009639983e-06  -2.2140525707e-02  2.7083626128e-02  8.0523187622e-02  9.9458379307e-02  -4.6206777975e-03  3.3251951764e-03  6.6136501806e-03  1.6688990898e-02  -1.2039585535e-02  9.0145965845e-03  -9.0171299456e-04  5.1164670800e-03  
4.0011903650e+00  1.3833903191e-06  9.7653964520e-07  -8.0454712926e-03  2.2423078937e-02  -1.9448910095e-01  1.9416640762e-01  7.0905788097e-02  5.2994442646e-02  2.5900271156e-02  2.5695613327e-02  -3.1433104891e-04  2.9062939639e-03  2.6746277785e-03  3.6260350835e-03  
