#correlator  value  value_err
4(24)  -1.60524e+00  3.56577e+00
6(23)  -4.31274e+02  5.19262e+02
6(26)  5.46617e+01  5.89681e+01
6(36)  -1.90272e+00  2.73392e+00
(235)  3.13535e-01  2.60442e+00
(246)  -1.92499e+00  3.55520e+00
(234)  3.94423e+01  4.29968e+01
