#pT (GeV)       1/(2pi pT) dN/dpT (GeV^-2)      statistical_uncertainty
6.000000000000000888e-01 7.536896271631574606e-01
8.000000000000000444e-01 2.568229557888703218e-01
1.000000000000000000e+00 1.080570182002731638e-01
1.200000000000000178e+00 5.221791515901109959e-02
1.400000000000000133e+00 2.784375743308738910e-02
1.600000000000000089e+00 1.598372854376286373e-02
1.800000000000000044e+00 9.718510145949396314e-03
2.000000000000000000e+00 6.188207361523193582e-03
2.200000000000000178e+00 4.092566982268843259e-03
2.400000000000000355e+00 2.793888732715967341e-03
2.600000000000000089e+00 1.959468556577153523e-03
2.800000000000000266e+00 1.406554840905452006e-03
3.000000000000000000e+00 1.030290710274134108e-03
