#First column: pT in GeV
#Other columns: dN/(2pi dy pT dpT) at midrapidity
#pT [ GeV ]      0-5%		  5-10%            10-20%           20-30%           30-40%           40-50%           50-60%
1.0808039955e-01 4.0011436192e+01 3.3313327030e+01 2.6204984466e+01 1.9171995561e+01 1.4212964301e+01 1.0266468255e+01 6.5405092883e+00
2.0385460534e-01 3.9839495033e+01 3.3462680098e+01 2.6336480387e+01 1.9321646563e+01 1.4097541972e+01 9.9471013658e+00 6.2335770009e+00
3.0211695159e-01 3.7389742871e+01 3.0742344635e+01 2.4272699502e+01 1.7491046450e+01 1.2837615499e+01 8.7625043075e+00 5.4090490657e+00
4.0117325839e-01 3.3888139239e+01 2.7717584258e+01 2.1691531386e+01 1.5441570986e+01 1.0986708797e+01 7.5034144107e+00 4.4620937100e+00
5.0056815722e-01 2.9841595446e+01 2.4571122209e+01 1.9034841076e+01 1.3308955028e+01 9.3215049689e+00 6.1468948814e+00 3.5551647894e+00
6.0008862504e-01 2.5883435651e+01 2.1165814263e+01 1.6268681971e+01 1.1272913094e+01 7.7646768531e+00 5.0010986055e+00 2.8226503857e+00
6.9966865058e-01 2.2046422931e+01 1.7978581591e+01 1.3780860439e+01 9.3174104372e+00 6.3582978618e+00 3.9589511462e+00 2.2052613481e+00
7.9942493658e-01 1.8426544055e+01 1.5082595776e+01 1.1455337016e+01 7.6179038554e+00 5.1268078054e+00 3.1499788235e+00 1.6711264533e+00
8.9923974059e-01 1.5047548114e+01 1.2297423128e+01 9.3835240587e+00 6.1728233273e+00 4.0582873134e+00 2.4399716982e+00 1.2575937358e+00
9.9899227365e-01 1.2211638484e+01 1.0088314426e+01 7.5980500413e+00 4.9405254362e+00 3.1965870391e+00 1.8634453558e+00 9.5117013665e-01
1.0988956939e+00 9.7590503210e+00 8.0604658274e+00 6.0534539990e+00 3.9418480946e+00 2.5110357903e+00 1.4250808985e+00 7.0606366909e-01
1.1986177329e+00 7.7198609990e+00 6.3821273899e+00 4.7659784598e+00 3.1130520810e+00 1.9552173782e+00 1.1031745463e+00 5.2015587233e-01
1.2985920528e+00 6.1071456563e+00 4.9996211918e+00 3.7805990519e+00 2.4165982968e+00 1.4903763169e+00 8.0455640064e-01 3.8047312100e-01
1.3987046031e+00 4.7393964182e+00 3.9095572482e+00 2.9551496998e+00 1.8656156134e+00 1.1507653714e+00 6.2838667668e-01 2.7921659579e-01
1.4984106713e+00 3.6864684477e+00 3.0631273504e+00 2.2663343149e+00 1.4559841804e+00 8.8834273905e-01 4.6493243944e-01 2.0514280759e-01
1.5984813015e+00 2.8447432735e+00 2.3411648570e+00 1.7608360976e+00 1.1253243688e+00 6.6776522838e-01 3.4902778153e-01 1.4879152515e-01
1.6981724392e+00 2.2063870455e+00 1.8396849462e+00 1.3681084723e+00 8.6338808772e-01 5.0180619521e-01 2.6910221236e-01 1.0406123139e-01
1.7984231217e+00 1.7016191624e+00 1.4006492910e+00 1.0615548590e+00 6.6020751242e-01 3.7652648225e-01 1.9487134516e-01 7.7644161739e-02
1.8980828911e+00 1.2868236004e+00 1.0805219767e+00 8.1772820046e-01 5.0084493269e-01 2.8383594515e-01 1.4626858728e-01 5.6811263207e-02
1.9981736913e+00 9.9366285059e-01 8.1546594725e-01 6.1198063638e-01 3.7979079823e-01 2.2144302705e-01 1.0826105609e-01 3.8568071172e-02
2.0981328839e+00 7.5739199696e-01 6.2908270017e-01 4.7586850310e-01 2.8891173387e-01 1.6237759766e-01 8.2837750910e-02 3.0384619919e-02
2.1977962133e+00 5.7203572360e-01 4.7537656638e-01 3.5608935146e-01 2.1519555056e-01 1.2081168080e-01 5.8342938685e-02 1.9501513998e-02
2.2976484747e+00 4.3999428540e-01 3.6330590815e-01 2.6852901181e-01 1.6823438731e-01 9.2473916712e-02 3.9908488158e-02 1.3954519339e-02
2.3983305485e+00 3.2897221152e-01 2.7517451578e-01 2.0319443767e-01 1.2071119761e-01 6.6588603909e-02 3.1689555915e-02 9.9981603714e-03
2.4983751100e+00 2.4678690044e-01 2.0652616684e-01 1.5347545833e-01 8.8858724142e-02 4.6836343577e-02 2.0810772324e-02 8.3552621097e-03
