#pT	yield	stat_err_yield	v_1	 stat_err_v_1	v_2	 stat_err_v_2	v_3	 stat_err_v_3	v_4	 stat_err_v_4	v_5	 stat_err_v_5	
2.000000000000000111e-01 1.540859385329232794e+02 2.416453821976370708e+00 9.284461491717653503e-03 1.491113891120844940e-03 1.820850902096024862e-02 2.419176906996109606e-03 6.880523383001682820e-03 1.149949803534262068e-03 3.264759312105318910e-03 4.588079434496119321e-04 4.419711022772504581e-04 7.482009602665063927e-05
4.000000000000000222e-01 2.044997387338719363e+01 3.301167073906846050e-01 1.269492744289582239e-02 2.038551775322082569e-03 2.317873010466187100e-02 3.105346082265425522e-03 8.534131888652018647e-03 1.447138174346394683e-03 4.016943324096710656e-03 5.699540161641440368e-04 1.301275412437057338e-03 2.204572516462234924e-04
5.999999999999999778e-01 5.878499923344167044e+00 9.581685975141712719e-02 1.600482394527020027e-02 2.575994839721839659e-03 3.112545784363860563e-02 4.187616187979195485e-03 1.162588787693523244e-02 1.977977207014578777e-03 5.160378053779448096e-03 7.261832111347533807e-04 1.935938097452121788e-03 3.271571651319585207e-04
8.000000000000000444e-01 2.250958012412696885e+00 3.707312930049495858e-02 1.684913404320702648e-02 2.726027379974290538e-03 3.911889678330862652e-02 5.269599271652427794e-03 1.574578140350522959e-02 2.678135095260214971e-03 7.166002014386585982e-03 1.006413945900099405e-03 2.620726189125744451e-03 4.411185937631338216e-04
1.000000000000000000e+00 9.991863147603015083e-01 1.673623054763240595e-02 1.540863435027061204e-02 2.524344220546790880e-03 4.588206414439455205e-02 6.177320509519699035e-03 2.023156325713046724e-02 3.436241264853034938e-03 9.912967566784423173e-03 1.392616789037119879e-03 3.640011688328235410e-03 6.089831796655083892e-04
1.199999999999999956e+00 4.845094433818496471e-01 8.318531597347338796e-03 1.248844903544600246e-02 2.109178185006258758e-03 5.090774989198520312e-02 6.844993891691632595e-03 2.441059340125814256e-02 4.140317960732102509e-03 1.290443718297532884e-02 1.813872142678875452e-03 5.023903636011759453e-03 8.355110360732361310e-04
1.399999999999999911e+00 2.497293734693046829e-01 4.417758588599256936e-03 8.643288670403469556e-03 1.580121498827275579e-03 5.396512999303976210e-02 7.246548421382425706e-03 2.783857157631981424e-02 4.713503834159829715e-03 1.580609983786482667e-02 2.227208979985098331e-03 6.619201920590483089e-03 1.096150609548337531e-03
1.600000000000000089e+00 1.349175639294052931e-01 2.462353352140851659e-03 4.465746397852609836e-03 1.085788913525074888e-03 5.517602125780115413e-02 7.405258851175809155e-03 3.029679030061535605e-02 5.121003262051621562e-03 1.827976466026388566e-02 2.585581460875558627e-03 8.217520108713436550e-03 1.357861808670949135e-03
1.800000000000000044e+00 7.576424621951352578e-02 1.423226057051350064e-03 4.835760393429661607e-04 8.464069272116212439e-04 5.462768686597166412e-02 7.339604373955456451e-03 3.162420287016055875e-02 5.339084280689640818e-03 2.006282626540416628e-02 2.851636765052708525e-03 9.635858710547872893e-03 1.591842642516171991e-03
2.000000000000000000e+00 4.395437070531096890e-02 8.454263715662204250e-04 -2.739633717803945188e-03 9.532155410322297462e-04 5.240582925391579910e-02 7.064643747390221551e-03 3.169172486102823927e-02 5.350877524402180944e-03 2.090042252137414708e-02 2.986767919116277425e-03 1.075246476038428309e-02 1.779134696683842918e-03
2.200000000000000178e+00 2.638121048976970612e-02 5.166073785903992467e-04 -5.586062848123078857e-03 1.228425156486311325e-03 4.922181549767692954e-02 6.668452178497625595e-03 3.096625567284292530e-02 5.230350060409643363e-03 2.113616372534506474e-02 3.039789458793663857e-03 1.143606665565981284e-02 1.898053704686461333e-03
2.399999999999999911e+00 1.632128463217997344e-02 3.233128079544251221e-04 -7.754089665924098450e-03 1.499383247742942880e-03 4.521953853731245504e-02 6.170924448462464587e-03 2.945915731001805607e-02 4.981905921764113836e-03 2.069891603231715713e-02 2.998247308573853426e-03 1.167140690255231809e-02 1.945844693966938994e-03
2.600000000000000089e+00 1.037788835831024437e-02 2.066024310156839574e-04 -9.070838360798395839e-03 1.677870093710688007e-03 4.054829511704326900e-02 5.589821624227739837e-03 2.723110194649043525e-02 4.616940727620953006e-03 1.958826388859328388e-02 2.860068707049207709e-03 1.149307148962085481e-02 1.927453586383243156e-03
2.799999999999999822e+00 6.782615199120981507e-03 1.349119265242332950e-04 -9.758020532396331076e-03 1.772390723926587936e-03 3.563523220971722555e-02 4.977076549441975840e-03 2.459429470942979534e-02 4.188281319232978889e-03 1.805089467572667736e-02 2.659295748746575046e-03 1.094023436326572833e-02 1.847960603678523240e-03
3.000000000000000000e+00 4.547945132616882172e-03 8.990109325466884435e-05 -9.786439160969242351e-03 1.771151427418923060e-03 3.064006115890435811e-02 4.349703003333685661e-03 2.165843367396881949e-02 3.710400759451845578e-03 1.615094582215418836e-02 2.403048456064749410e-03 1.010084352613797344e-02 1.720667761392218531e-03
