#First column: pT in GeV
#Other columns: dN/(2pi dy pT dpT) at midrapidity
#pT [ GeV ]      0-5%		  5-10%            10-20%           20-30%           30-40%           40-50%           50-60%
1.0537672234e-01 1.4011558208e+03 1.1507269963e+03 8.9637657198e+02 6.1945545791e+02 4.3326361964e+02 2.7869268027e+02 1.6280032155e+02
2.0049867810e-01 9.7954784780e+02 8.0117769491e+02 6.2065058825e+02 4.2710438276e+02 2.9565643127e+02 1.9017736221e+02 1.1134236456e+02
2.9912099181e-01 6.3614411442e+02 5.2039400126e+02 3.9883229057e+02 2.7126940912e+02 1.8534642224e+02 1.1751736865e+02 6.7629521037e+01
3.9855747999e-01 4.1671124117e+02 3.3969988086e+02 2.5953708491e+02 1.7408642857e+02 1.1792050187e+02 7.3273825384e+01 4.1258494478e+01
4.9840021686e-01 2.7758453604e+02 2.2665975752e+02 1.7300789757e+02 1.1538017542e+02 7.6592186321e+01 4.6679501317e+01 2.5590408076e+01
5.9822760385e-01 1.8818667088e+02 1.5411747599e+02 1.1717995022e+02 7.7627686134e+01 5.0971647810e+01 3.0469629255e+01 1.6170539939e+01
6.9813441526e-01 1.2961016210e+02 1.0625773445e+02 8.0801296486e+01 5.3015307709e+01 3.4381338071e+01 2.0301286032e+01 1.0525009202e+01
7.9811241592e-01 9.0595330125e+01 7.4256959999e+01 5.6400087071e+01 3.6882503241e+01 2.3679075776e+01 1.3665453728e+01 6.9700487389e+00
8.9808847024e-01 6.3855368409e+01 5.2608134769e+01 3.9842093108e+01 2.5903126680e+01 1.6458665658e+01 9.3572854896e+00 4.6621014316e+00
9.9800820477e-01 4.5398016134e+01 3.7529488799e+01 2.8322408075e+01 1.8396218359e+01 1.1545013183e+01 6.4595621463e+00 3.0849880924e+00
1.0980681376e+00 3.2619327644e+01 2.7000560811e+01 2.0452383991e+01 1.3132330129e+01 8.1333578251e+00 4.5017188443e+00 2.1295030008e+00
1.1980299695e+00 2.3549294142e+01 1.9423515324e+01 1.4667653438e+01 9.3822393662e+00 5.7924616573e+00 3.1273726352e+00 1.4257906488e+00
1.2980525117e+00 1.7028399545e+01 1.4087482213e+01 1.0683368553e+01 6.8163479599e+00 4.1474304494e+00 2.2266928244e+00 9.8621597394e-01
1.3980503956e+00 1.2339945232e+01 1.0360422617e+01 7.7889669741e+00 4.9252101873e+00 2.9727083137e+00 1.5621084735e+00 6.7512308780e-01
1.4978497435e+00 9.0148679024e+00 7.5475385877e+00 5.6959374863e+00 3.5847116640e+00 2.1455041370e+00 1.0988324339e+00 4.6083568710e-01
1.5978556979e+00 6.6915524317e+00 5.5306812338e+00 4.1645982271e+00 2.6053833834e+00 1.5379585209e+00 8.0287739416e-01 3.2167988077e-01
1.6980391937e+00 4.8809513609e+00 4.1037029889e+00 3.0901821202e+00 1.9122467534e+00 1.1186527553e+00 5.6755590297e-01 2.2945893453e-01
1.7979038448e+00 3.6195079801e+00 3.0043473275e+00 2.2722675237e+00 1.4051968949e+00 8.0325128728e-01 4.0001220510e-01 1.5873076791e-01
