#pT (GeV)       1/(2pi pT) dN/dpT (GeV^-2)      statistical_uncertainty
5.999999999999999778e-01 4.255603300944566847e+00
8.000000000000000444e-01 1.695777811828217185e+00
1.000000000000000000e+00 7.598518425512261754e-01
1.199999999999999956e+00 3.654414785787617470e-01
1.399999999999999911e+00 1.844148237640573784e-01
1.600000000000000089e+00 9.648501115007863949e-02
1.800000000000000044e+00 5.197745719644271400e-02
2.000000000000000000e+00 2.870630193423560905e-02
2.200000000000000178e+00 1.620496412065548439e-02
2.399999999999999911e+00 9.329345232057863549e-03
2.600000000000000089e+00 5.467579958635010104e-03
2.799999999999999822e+00 3.256878055814163130e-03
3.000000000000000000e+00 1.969094165731766211e-03
