#pT (GeV)       1/(2pi pT) dN/dpT (GeV^-2)      statistical_uncertainty
5.999999999999999778e-01 1.624526224867036961e-01
8.000000000000000444e-01 6.987862013437559638e-02
1.000000000000000000e+00 3.215336558136080297e-02
1.199999999999999956e+00 1.502590912641778818e-02
1.399999999999999911e+00 7.153059269646930458e-03
1.600000000000000089e+00 3.487895680958880400e-03
1.800000000000000044e+00 1.706579877724050077e-03
2.000000000000000000e+00 7.761521817068793658e-04
2.200000000000000178e+00 3.911240032657543300e-04
2.399999999999999911e+00 2.059049810250702061e-04
2.600000000000000089e+00 1.016248701948124224e-04
2.799999999999999822e+00 5.070830274743801623e-05
3.000000000000000000e+00 2.363596095193627958e-05
