mu=pt/2;

    y_min     y_max        pt       direct     frag       sum
 -8.000E-01  8.000E-01  3.500E+00  3.832E+04  1.048E+05  1.431E+05
 -8.000E-01  8.000E-01  4.000E+00  2.269E+04  5.657E+04  7.926E+04
 -8.000E-01  8.000E-01  4.500E+00  1.408E+04  3.259E+04  4.667E+04
 -8.000E-01  8.000E-01  5.000E+00  9.130E+03  1.994E+04  2.907E+04
 -8.000E-01  8.000E-01  5.500E+00  6.120E+03  1.272E+04  1.884E+04
 -8.000E-01  8.000E-01  6.000E+00  4.225E+03  8.390E+03  1.262E+04
 -8.000E-01  8.000E-01  6.500E+00  2.993E+03  5.707E+03  8.700E+03
 -8.000E-01  8.000E-01  7.000E+00  2.168E+03  3.993E+03  6.161E+03
 -8.000E-01  8.000E-01  7.500E+00  1.600E+03  2.855E+03  4.455E+03
 -8.000E-01  8.000E-01  8.000E+00  1.201E+03  2.077E+03  3.279E+03
 -8.000E-01  8.000E-01  8.500E+00  9.161E+02  1.544E+03  2.460E+03
 -8.000E-01  8.000E-01  9.000E+00  7.081E+02  1.163E+03  1.871E+03
 -8.000E-01  8.000E-01  9.500E+00  5.541E+02  8.922E+02  1.446E+03
 -8.000E-01  8.000E-01  1.000E+01  4.384E+02  6.917E+02  1.130E+03
 -8.000E-01  8.000E-01  1.050E+01  3.506E+02  5.402E+02  8.908E+02
 -8.000E-01  8.000E-01  1.100E+01  2.829E+02  4.271E+02  7.100E+02
 -8.000E-01  8.000E-01  1.150E+01  2.303E+02  3.405E+02  5.708E+02
 -8.000E-01  8.000E-01  1.200E+01  1.889E+02  2.741E+02  4.630E+02
 -8.000E-01  8.000E-01  1.250E+01  1.561E+02  2.228E+02  3.788E+02
 -8.000E-01  8.000E-01  1.300E+01  1.298E+02  1.824E+02  3.123E+02
 -8.000E-01  8.000E-01  1.350E+01  1.087E+02  1.505E+02  2.592E+02
 -8.000E-01  8.000E-01  1.400E+01  9.153E+01  1.250E+02  2.165E+02
 -8.000E-01  8.000E-01  1.450E+01  7.749E+01  1.045E+02  1.820E+02
 -8.000E-01  8.000E-01  1.500E+01  6.595E+01  8.780E+01  1.538E+02
 -8.000E-01  8.000E-01  1.550E+01  5.639E+01  7.441E+01  1.308E+02
 -8.000E-01  8.000E-01  1.600E+01  4.845E+01  6.319E+01  1.116E+02
 -8.000E-01  8.000E-01  1.650E+01  4.179E+01  5.408E+01  9.588E+01
 -8.000E-01  8.000E-01  1.700E+01  3.619E+01  4.642E+01  8.262E+01
 -8.000E-01  8.000E-01  1.750E+01  3.147E+01  3.998E+01  7.145E+01
 -8.000E-01  8.000E-01  1.800E+01  2.746E+01  3.446E+01  6.192E+01
 -8.000E-01  8.000E-01  1.850E+01  2.404E+01  2.979E+01  5.383E+01
 -8.000E-01  8.000E-01  1.900E+01  2.112E+01  2.586E+01  4.698E+01
 -8.000E-01  8.000E-01  1.950E+01  1.861E+01  2.255E+01  4.116E+01
 -8.000E-01  8.000E-01  2.000E+01  1.645E+01  1.973E+01  3.618E+01
 -8.000E-01  8.000E-01  2.050E+01  1.457E+01  1.731E+01  3.188E+01
 -8.000E-01  8.000E-01  2.100E+01  1.295E+01  1.525E+01  2.820E+01
 -8.000E-01  8.000E-01  2.150E+01  1.154E+01  1.344E+01  2.498E+01
 -8.000E-01  8.000E-01  2.200E+01  1.030E+01  1.191E+01  2.221E+01
 -8.000E-01  8.000E-01  2.250E+01  9.222E+00  1.057E+01  1.979E+01
 -8.000E-01  8.000E-01  2.300E+01  8.273E+00  9.398E+00  1.767E+01
