5.00000000e-01  2.34138601e-02  2.47051478e-02  2.65910422e-02  2.90583381e-02
6.00000000e-01  8.71649594e-03  9.52323082e-03  1.06617400e-02  1.20891289e-02
7.00000000e-01  3.24497119e-03  3.76560296e-03  4.47428802e-03  5.32527567e-03
8.00000000e-01  1.56709619e-03  1.91288701e-03  2.36474861e-03  2.88131521e-03
9.00000000e-01  9.81739719e-04  1.21554566e-03  1.50896833e-03  1.82871451e-03
1.00000000e+00  6.15031088e-04  7.75851130e-04  9.69039234e-04  1.16876250e-03
1.10000000e+00  4.24660847e-04  5.36622882e-04  6.65444829e-04  7.91959356e-04
1.20000000e+00  2.93215804e-04  3.72018803e-04  4.58761797e-04  5.39544229e-04
1.30000000e+00  2.10180756e-04  2.66138743e-04  3.25047334e-04  3.77065169e-04
1.40000000e+00  1.56407995e-04  1.96465029e-04  2.36805018e-04  2.70609799e-04
1.50000000e+00  1.16392487e-04  1.45265708e-04  1.73065057e-04  1.95151125e-04
1.60000000e+00  9.05698298e-05  1.11496612e-04  1.30764243e-04  1.45295677e-04
1.70000000e+00  7.04761474e-05  8.57305808e-05  9.91637893e-05  1.08788810e-04
1.80000000e+00  5.51366074e-05  6.63087581e-05  7.57182691e-05  8.21267876e-05
1.90000000e+00  4.33687801e-05  5.15839284e-05  5.82030324e-05  6.24953553e-05
2.00000000e+00  3.41125648e-05  4.01786142e-05  4.48547878e-05  4.77456203e-05
2.10000000e+00  2.78242728e-05  3.23232132e-05  3.56414551e-05  3.75992669e-05
2.20000000e+00  2.26951612e-05  2.60423323e-05  2.84049704e-05  2.97384184e-05
2.30000000e+00  1.86952265e-05  2.11931838e-05  2.28808856e-05  2.37939193e-05
2.40000000e+00  1.55530726e-05  1.74225930e-05  1.86318169e-05  1.92603819e-05
2.50000000e+00  1.29390285e-05  1.43432775e-05  1.52126906e-05  1.56479412e-05
2.60000000e+00  1.09844838e-05  1.20422515e-05  1.26691550e-05  1.29722484e-05
2.70000000e+00  9.32518882e-06  1.01238976e-05  1.05771097e-05  1.07894393e-05
2.80000000e+00  7.96067147e-06  8.56511832e-06  8.89356828e-06  9.04325910e-06
2.90000000e+00  6.83369912e-06  7.29219415e-06  7.53079545e-06  7.63696756e-06
3.00000000e+00  5.86626943e-06  6.21499577e-06  6.38880036e-06  6.46462114e-06
3.10000000e+00  5.09112548e-06  5.35721571e-06  5.48420830e-06  5.53874218e-06
3.20000000e+00  4.41840576e-06  4.62186941e-06  4.71485771e-06  4.75434497e-06
3.30000000e+00  3.85274741e-06  4.00862423e-06  4.07685453e-06  4.10564943e-06
3.40000000e+00  3.37542624e-06  3.49508301e-06  3.54524600e-06  3.56638637e-06
3.50000000e+00  2.95724093e-06  3.04926221e-06  3.08621310e-06  3.10184289e-06
